uuid, study, function, error_line, error_message, L_ij, E_ij, K_ij, F_ij compiling, F_ij passing tests
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_add_item_at_pos,add_item_at_pos.c:49:26,SEGV on,25,2,0.08,19,11
40a638f7-3fe3-43b0-b6cd-c47427778724,Deactive,list_add_item_at_pos,add_item_at_pos.c:54:30,SEGV on,25,2,0.08,19,11
4992045a-4e79-4768-a0e8-8a8219c7b8d5,Deactive,list_add_item_at_pos,add_item_at_pos.c:47,SEGV on,21,1,0.0476,19,11
4992045a-4e79-4768-a0e8-8a8219c7b8d5,Deactive,list_item_to_string,item_to_string.c:45:5,stack-buffer-overflow on,9,1,0.1111,20,12
4992045a-4e79-4768-a0e8-8a8219c7b8d5,Deactive,list_add_item_at_pos,add_item_at_pos.c:47,SEGV on,21,1,0.0476,19,11
514e6c1d-f935-474d-899e-96e27d5babd3,Active,list_print,print.c:42:21,SEGV on,13,1,0.0769,29,14
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_add_item_at_pos,add_item_at_pos.c:55:29,SEGV on,26,1,0.0385,19,11
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_load,load.c:46:24,SEGV on,26,2,0.0769,12,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_load,load.c:44:23,SEGV on,26,2,0.0769,12,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_print,print.c:44:9,libFuzzer: timeout,12,2,0.1667,24,9
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_print,print.c:45:9,libFuzzer: timeout,12,2,0.1667,24,9
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:32:23,SEGV on,25,2,0.08,12,9
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_remove_item_at_pos,remove_item_at_pos.c:42:23,SEGV on,25,2,0.08,12,9
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_save,save.c:39:5,SEGV on,14,2,0.1429,13,7
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_save,save.c:37:9,SEGV on,14,2,0.1429,13,7
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_swap_item_positions,swap_item_positions.c:70:24,SEGV on,53,5,0.0943,11,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_swap_item_positions,swap_item_positions.c:72:23,SEGV on,53,5,0.0943,11,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_swap_item_positions,swap_item_positions.c:25,libFuzzer: timeout,53,5,0.0943,11,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_swap_item_positions,swap_item_positions.c:25,SEGV on,53,5,0.0943,11,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_swap_item_positions,swap_item_positions.c:43:18,SEGV on,53,5,0.0943,11,4
549eca81-c8f8-4237-9237-220ab72ac8cf,Deactive,list_update_item_at_pos,update_item_at_pos.c:36:21,SEGV on,16,1,0.0625,13,9
